Year	   month	Tmax	Tmin	Prec	PAR	CO2
1800-1900		1	-10.85	-22.77	72.86	150.85	295.80
1800-1900		2	-8.89	-21.54	67.35	342.50	295.80
1800-1900		3	-2.36	-14.45	59.82	738.35	295.80
1800-1900		4	4.18	-5.79	63.06	968.62	295.80
1800-1900		5	11.63	0.48	73.68	1043.84	295.80
1800-1900		6	18.41	5.96	90.34	1031.76	295.80
1800-1900		7	21.45	9.47	95.05	889.16	295.80
1800-1900		8	19.67	8.14	88.73	745.91	295.80
1800-1900		9	14.26	3.90	92.66	572.81	295.80
1800-1900		10	7.23	-0.98	87.27	308.70	295.80
1800-1900		11	-0.06	-7.82	84.24	185.75	295.80
1800-1900		12	-7.69	-17.60	81.76	181.57	295.80
1901	1	-10.6	-22.8	64.0	142.7	295.8
1901	2	-8.9	-21.9	91.0	349.2	295.8
1901	3	-3.0	-14.6	69.0	747.4	295.8
1901	4	6.1	-3.9	64.0	941.8	295.8
1901	5	13.4	1.4	55.0	1034.7	295.8
1901	6	18.9	6.1	90.0	949.4	295.8
1901	7	22.3	10.1	76.0	875.4	295.8
1901	8	20.1	8.4	76.0	723.7	295.8
1901	9	15.0	3.7	64.0	608.2	295.8
1901	10	7.4	-1.6	83.0	293.7	295.8
1901	11	-2.9	-10.4	55.0	194.6	295.8
1901	12	-8.3	-17.7	107.0	168.4	295.8
1902	1	-9.6	-21.0	78.0	145.5	296.5
1902	2	-7.5	-19.0	75.0	324.6	296.5
1902	3	0.9	-9.8	81.0	689.5	296.5
1902	4	3.9	-5.3	52.0	842.2	296.5
1902	5	10.8	-0.5	60.0	940.2	296.5
1902	6	14.9	3.8	133.0	1082.2	296.5
1902	7	20.8	8.8	51.0	936.4	296.5
1902	8	19.0	6.9	109.0	748.5	296.5
1902	9	14.7	4.2	84.0	541.8	296.5
1902	10	6.1	-2.0	86.0	322.5	296.5
1902	11	0.4	-7.2	60.0	172.2	296.5
1902	12	-9.8	-19.9	78.0	186.7	296.5
1903	1	-10.2	-21.6	63.0	148.5	296.8
1903	2	-8.5	-19.2	90.0	323.9	296.8
1903	3	-0.3	-11.4	65.0	737.0	296.8
1903	4	4.5	-5.8	76.0	1021.9	296.8
1903	5	12.0	0.5	40.0	1093.3	296.8
1903	6	15.6	5.2	43.0	1042.1	296.8
1903	7	19.3	8.8	81.0	868.0	296.8
1903	8	16.3	5.7	102.0	781.6	296.8
1903	9	13.8	3.7	39.0	549.7	296.8
1903	10	6.9	-0.8	68.0	293.7	296.8
1903	11	-1.8	-9.6	78.0	194.3	296.8
1903	12	-10.5	-21.1	71.0	194.7	296.8
1904	1	-14.0	-25.3	94.0	165.6	297.2
1904	2	-14.4	-27.2	72.0	360.6	297.2
1904	3	-5.1	-17.2	85.0	697.1	297.2
1904	4	2.0	-7.4	43.0	949.2	297.2
1904	5	12.5	1.0	99.0	1096.1	297.2
1904	6	17.9	5.1	58.0	927.9	297.2
1904	7	21.4	8.7	76.0	881.0	297.2
1904	8	18.1	5.9	76.0	704.3	297.2
1904	9	12.4	1.7	48.0	528.4	297.2
1904	10	6.7	-2.5	82.0	290.4	297.2
1904	11	0.1	-8.7	97.0	182.5	297.2
1904	12	-11.0	-22.0	61.0	175.4	297.2
1905	1	-12.8	-26.2	63.0	163.0	297.6
1905	2	-11.2	-25.1	59.0	323.2	297.6
1905	3	-1.9	-15.2	14.0	716.0	297.6
1905	4	3.7	-6.2	32.0	978.5	297.6
1905	5	10.9	-0.2	64.0	1080.3	297.6
1905	6	17.9	4.8	88.0	990.7	297.6
1905	7	21.7	8.8	93.0	995.6	297.6
1905	8	19.0	7.0	83.0	719.9	297.6
1905	9	14.6	4.2	93.0	592.7	297.6
1905	10	6.2	-2.5	78.0	328.3	297.6
1905	11	-0.7	-9.4	32.0	184.7	297.6
1905	12	-5.1	-17.1	48.0	180.1	297.6
1906	1	-5.9	-18.1	79.0	150.0	298.1
1906	2	-7.9	-22.8	42.0	366.8	298.1
1906	3	-5.0	-18.9	56.0	761.6	298.1
1906	4	5.2	-5.9	44.0	964.7	298.1
1906	5	10.5	-0.9	44.0	935.3	298.1
1906	6	19.6	5.4	79.0	1031.9	298.1
