Year	   month	Tmax	Tmin	Prec	PAR	CO2
1800-1901	1	-11.78	-24.66	41.60	272.26	295.80
1800-1901	2	-10.86	-23.60	26.70	477.56	295.80
1800-1901	3	-3.70	-18.07	68.50	735.70	295.80
1800-1901	4	8.48	-3.86	44.80	898.67	295.80
1800-1901	5	17.17	3.44	55.00	797.52	295.80
1800-1901	6	21.49	8.29	87.10	1207.66	295.80
1800-1901	7	23.67	12.06	78.30	1179.67	295.80
1800-1901	8	21.68	10.13	106.80	938.67	295.80
1800-1901	9	15.27	5.49	75.00	555.53	295.80
1800-1901	10	7.60	-0.36	98.50	349.52	295.80
1800-1901	11	-2.63	-9.86	59.80	192.49	295.80
1800-1901	12	-9.24	-19.38	75.00	191.49	295.80
1902	1	-10.33	-22.85	47.60	250.35	296.48
1902	2	-7.39	-19.62	22.90	448.93	296.48
1902	3	0.92	-12.33	62.70	716.18	296.48
1902	4	6.12	-5.31	45.20	984.65	296.48
1902	5	14.10	1.46	80.80	1070.93	296.48
1902	6	15.55	5.29	151.10	1122.54	296.48
1902	7	22.70	10.94	80.90	986.34	296.48
1902	8	20.11	8.74	72.40	915.66	296.48
1902	9	15.04	5.81	96.10	554.82	296.48
1902	10	5.57	-1.11	83.90	417.27	296.48
1902	11	0.27	-6.74	69.50	171.68	296.48
1902	12	-10.54	-21.46	52.40	161.59	296.48
1903	1	-11.10	-23.38	39.90	249.16	296.83
1903	2	-8.76	-21.80	40.70	415.57	296.83
1903	3	0.19	-13.48	56.30	605.57	296.83
1903	4	6.06	-6.47	48.40	861.13	296.83
1903	5	15.19	2.07	92.90	1078.08	296.83
1903	6	18.58	7.01	67.50	1030.24	296.83
1903	7	21.27	10.47	93.00	1011.47	296.83
1903	8	18.07	7.72	106.00	687.67	296.83
1903	9	14.44	4.76	99.50	636.55	296.83
1903	10	8.26	-0.52	72.30	416.26	296.83
1903	11	-1.82	-9.47	60.90	206.14	296.83
1903	12	-11.63	-23.36	47.90	188.44	296.83
1904	1	-14.43	-27.01	62.90	205.66	297.20
1904	2	-14.29	-29.03	35.40	461.68	297.20
1904	3	-4.47	-18.03	70.50	700.79	297.20
1904	4	4.22	-7.49	65.20	820.67	297.20
1904	5	16.27	3.64	92.00	935.85	297.20
1904	6	19.67	7.09	82.10	938.96	297.20
1904	7	21.99	9.57	69.00	1332.97	297.20
1904	8	19.41	7.41	79.40	868.81	297.20
1904	9	12.75	3.52	70.00	482.74	297.20
1904	10	6.50	-1.16	58.00	388.17	297.20
1904	11	-0.58	-7.64	15.60	177.14	297.20
1904	12	-12.69	-23.16	50.20	194.06	297.20
1905	1	-14.81	-27.75	50.50	276.83	297.63
1905	2	-11.10	-24.65	21.90	418.60	297.63
1905	3	-1.70	-16.44	18.50	727.64	297.63
1905	4	4.40	-6.17	41.80	871.57	297.63
1905	5	14.13	2.05	64.80	1215.81	297.63
1905	6	20.48	7.03	59.00	1130.23	297.63
1905	7	22.49	10.88	111.90	1192.50	297.63
1905	8	20.59	8.66	85.30	1115.19	297.63
1905	9	15.95	6.21	101.70	657.52	297.63
1905	10	7.00	-1.49	72.00	403.95	297.63
1905	11	-1.47	-9.26	29.10	237.66	297.63
1905	12	-6.90	-18.14	39.10	222.29	297.63
1906	1	-8.40	-20.35	39.20	234.86	298.08
1906	2	-8.76	-24.03	24.40	447.26	298.08
1906	3	-6.21	-20.84	40.50	632.03	298.08
1906	4	6.81	-5.55	11.00	870.62	298.08
1906	5	13.21	1.06	43.70	916.27	298.08
1906	6	21.28	9.62	92.00	973.67	298.08
1906	7	23.72	10.88	75.60	968.70	298.08
1906	8	22.54	10.59	103.00	673.40	298.08
1906	9	16.65	6.61	95.40	603.28	298.08
1906	10	7.94	0.10	88.70	380.75	298.08
1906	11	-0.87	-8.59	59.90	244.14	298.08
1906	12	-10.93	-22.20	35.50	195.16	298.08
1907	1	-14.40	-28.69	47.80	244.57	298.50
1907	2	-11.96	-27.10	34.10	412.71	298.50
1907	3	-2.24	-16.93	44.00	593.77	298.50
1907	4	0.72	-10.57	24.60	952.62	298.50
1907	5	8.93	-2.50	66.70	987.72	298.50
1907	6	20.15	7.18	83.90	1209.87	298.50
1907	7	21.77	10.09	106.70	949.00	298.50
1907	8	19.25	8.02	101.40	750.11	298.50
1907	9	13.84	4.87	135.30	719.74	298.50
1907	10	5.78	-2.62	61.00	357.35	298.50
1907	11	-0.96	-9.31	31.70	186.61	298.50
1907	12	-6.84	-17.65	33.70	172.39	298.50
1908	1	-10.00	-25.00	31.60	234.85	298.90
1908	2	-10.19	-23.03	50.20	445.22	298.90
1908	3	-3.82	-20.05	47.40	764.07	298.90
1908	4	4.30	-8.60	35.10	861.82	298.90
1908	5	14.73	2.31	85.20	996.96	298.90
1908	6	21.28	7.93	74.70	1199.72	298.90
1908	7	23.91	10.78	57.50	1210.96	298.90
1908	8	20.62	9.06	81.50	787.35	298.90
1908	9	19.28	7.24	38.20	640.45	298.90
1908	10	9.17	0.76	58.20	372.31	298.90
1908	11	-0.03	-7.04	47.40	214.49	298.90
1908	12	-10.18	-21.33	38.60	180.45	298.90
1909	1	-12.42	-25.38	55.20	250.18	299.30
1909	2	-10.53	-24.99	48.90	402.59	299.30
1909	3	-3.09	-16.26	47.00	704.44	299.30
1909	4	3.24	-8.60	68.50	802.63	299.30
1909	5	13.59	1.35	68.60	1099.06	299.30
1909	6	19.84	7.07	72.30	894.62	299.30
1909	7	22.05	10.11	123.10	963.72	299.30
1909	8	21.91	9.95	85.40	896.70	299.30
1909	9	14.63	5.22	100.60	593.74	299.30
1909	10	7.14	-0.16	64.40	354.92	299.30
1909	11	1.04	-6.84	60.80	179.42	299.30
1909	12	-8.28	-16.96	75.10	153.65	299.30
1910	1	-10.00	-21.54	51.70	208.07	299.70
1910	2	-11.70	-26.00	44.10	444.26	299.70
1910	3	0.99	-12.93	36.10	667.88	299.70
1910	4	8.21	-3.81	51.10	953.29	299.70
1910	5	13.78	1.09	66.40	981.85	299.70
1910	6	21.04	7.54	53.30	1254.80	299.70
1910	7	23.34	10.51	87.90	1013.48	299.70
1910	8	20.23	8.85	86.40	939.36	299.70
1910	9	13.78	4.35	90.10	585.14	299.70
1910	10	8.01	-0.05	77.10	379.46	299.70
1910	11	-2.32	-7.64	74.70	254.04	299.70
1910	12	-10.75	-21.47	45.30	166.01	299.70
1911	1	-13.08	-28.25	39.00	236.84	300.08
1911	2	-9.58	-23.67	27.00	468.60	300.08
1911	3	-2.13	-16.97	32.10	666.30	300.08
1911	4	5.84	-7.40	29.30	899.65	300.08
1911	5	17.88	3.89	44.40	885.77	300.08
1911	6	20.56	8.26	67.40	1144.12	300.08
1911	7	23.37	10.98	109.00	1133.62	300.08
1911	8	21.41	8.89	83.70	801.37	300.08
1911	9	14.04	3.20	93.40	507.86	300.08
1911	10	6.88	-0.72	74.90	393.82	300.08
1911	11	-3.63	-11.38	84.80	242.58	300.08
1911	12	-5.94	-14.21	43.70	173.24	300.08
1912	1	-17.62	-30.12	43.00	224.64	300.43
1912	2	-10.20	-22.61	29.30	427.64	300.43
1912	3	-3.78	-21.99	30.60	710.17	300.43
1912	4	5.50	-8.45	31.50	834.93	300.43
1912	5	15.55	1.95	102.20	1065.35	300.43
1912	6	19.49	6.53	69.70	1012.05	300.43
1912	7	22.23	9.47	103.20	1053.70	300.43
1912	8	17.89	7.36	85.60	739.73	300.43
1912	9	14.65	6.16	92.60	621.59	300.43
1912	10	8.60	0.29	66.70	384.49	300.43
1912	11	0.20	-7.01	35.10	216.10	300.43
1912	12	-7.17	-19.16	47.10	192.29	300.43
1913	1	-9.53	-22.43	55.40	240.84	300.78
1913	2	-13.05	-27.78	37.90	378.04	300.78
1913	3	-4.04	-16.92	68.60	706.83	300.78
1913	4	7.96	-4.76	37.10	734.13	300.78
1913	5	13.88	1.15	44.10	1075.55	300.78
1913	6	22.56	7.06	44.70	1130.69	300.78
1913	7	21.77	9.30	92.90	1018.13	300.78
1913	8	21.09	8.85	77.50	1049.81	300.78
1913	9	15.24	4.24	74.40	590.57	300.78
1913	10	8.30	0.59	96.30	370.46	300.78
1913	11	1.93	-5.77	41.20	221.62	300.78
1913	12	-5.40	-14.94	30.90	214.92	300.78
1914	1	-11.21	-23.39	56.20	271.68	301.10
1914	2	-14.69	-28.81	27.20	423.58	301.10
1914	3	-3.43	-16.79	35.10	782.96	301.10
1914	4	4.06	-8.71	30.60	1047.83	301.10
